"","","Year","","","","","","","",""
"Source Country","Sector","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Taiwan, Province of China [TW]","[999] TOTAL activities","3 572.85","1 667.35","2 371.46","2 770.71","5 084.01","9 103.18","11 688.58","3 030.49","7 309.91"
